FromName,ToName,ParentName,Include,Description,DataType,DataLength,,
Information,Information,,FALSE,,,,,
Information.InformationId,InformationId,,FALSE,,GUID,,,
Information.Name,Name,,FALSE,,TEXT,50,,
Information.Description,Description,,FALSE,,TEXT,500,,
Series,Series,,FALSE,,,,,
Series.SeriesId,SeriesId,,FALSE,,GUID,,,
Series.Name,Name,,FALSE,,TEXT,50,,
Series.Description,Description,,FALSE,,TEXT,500,,
Listener,Listener,,TRUE,,,,,
Listener.ListenerId,ListenerId,,TRUE,,GUID,,,
Listener.Name,Name,,TRUE,,TEXT,50,,
Listener.Description,Description,,TRUE,,TEXT,500,,
Observer,Observer,,TRUE,,,,,
Observer.ObserverId,ObserverId,,TRUE,,GUID,,,
Observer.Name,Name,,TRUE,,TEXT,50,,
Observer.Description,Description,,TRUE,,TEXT,500,,
Equipment,Equipment,,TRUE,,,,,
Equipment.EquipmentId,EquipmentId,,TRUE,,GUID,,,
Equipment.Name,Name,,TRUE,,TEXT,50,,
Equipment.Description,Description,,TRUE,,TEXT,500,,
Inventor,Inventor,,TRUE,,,,,
Inventor.InventorId,InventorId,,TRUE,,GUID,,,
Inventor.Name,Name,,TRUE,,TEXT,50,,
Inventor.Description,Description,,TRUE,,TEXT,500,,
Telegraph,Telegraph,,TRUE,,,,,
Telegraph.TelegraphId,TelegraphId,,TRUE,,GUID,,,
Telegraph.Name,Name,,TRUE,,TEXT,50,,
Telegraph.Description,Description,,TRUE,,TEXT,500,,
Iso,Iso,,FALSE,,,,,
Iso.IsoId,IsoId,,FALSE,,GUID,,,
Iso.Name,Name,,FALSE,,TEXT,50,,
Iso.Description,Description,,FALSE,,TEXT,500,,
Alphabet,Alphabet,,TRUE,,,,,
Alphabet.AlphabetId,AlphabetId,,TRUE,,GUID,,,
Alphabet.Name,Name,,TRUE,,TEXT,50,,
Alphabet.Description,Description,,TRUE,,TEXT,500,,
Isobasiclatinalphabet,Isobasiclatinalphabet,,FALSE,,,,,
Isobasiclatinalphabet.IsobasiclatinalphabetId,IsobasiclatinalphabetId,,FALSE,,GUID,,,
Isobasiclatinalphabet.Name,Name,,FALSE,,TEXT,50,,
Isobasiclatinalphabet.Description,Description,,FALSE,,TEXT,500,,
Arabicnumeral,Arabicnumeral,,FALSE,,,,,
Arabicnumeral.ArabicnumeralId,ArabicnumeralId,,FALSE,,GUID,,,
Arabicnumeral.Name,Name,,FALSE,,TEXT,50,,
Arabicnumeral.Description,Description,,FALSE,,TEXT,500,,
Set,Set,,FALSE,,,,,
Set.SetId,SetId,,FALSE,,GUID,,,
Set.Name,Name,,FALSE,,TEXT,50,,
Set.Description,Description,,FALSE,,TEXT,500,,
Punctuation,Punctuation,,TRUE,,,,,
Punctuation.PunctuationId,PunctuationId,,TRUE,,GUID,,,
Punctuation.Name,Name,,TRUE,,TEXT,50,,
Punctuation.Description,Description,,TRUE,,TEXT,500,,
Prosignsformorsecode,Prosignsformorsecode,,FALSE,,,,,
Prosignsformorsecode.ProsignsformorsecodeId,ProsignsformorsecodeId,,FALSE,,GUID,,,
Prosignsformorsecode.Name,Name,,FALSE,,TEXT,50,,
Prosignsformorsecode.Description,Description,,FALSE,,TEXT,500,,
Radio,Radio,,TRUE,,,,,
Radio.RadioId,RadioId,,TRUE,,GUID,,,
Radio.Name,Name,,TRUE,,TEXT,50,,
Radio.Description,Description,,TRUE,,TEXT,500,,
Amateurradio,Amateurradio,,FALSE,,,,,
Amateurradio.AmateurradioId,AmateurradioId,,FALSE,,GUID,,,
Amateurradio.Name,Name,,FALSE,,TEXT,50,,
Amateurradio.Description,Description,,FALSE,,TEXT,500,,
Practice,Practice,,FALSE,,,,,
Practice.PracticeId,PracticeId,,FALSE,,GUID,,,
Practice.Name,Name,,FALSE,,TEXT,50,,
Practice.Description,Description,,FALSE,,TEXT,500,,
Symbol,Symbol,,FALSE,,,,,
Symbol.SymbolId,SymbolId,,FALSE,,GUID,,,
Symbol.Name,Name,,FALSE,,TEXT,50,,
Symbol.Description,Description,,FALSE,,TEXT,500,,
Character,Character,,TRUE,,,,,
Character.CharacterId,CharacterId,,TRUE,,GUID,,,
Character.Name,Name,,TRUE,,TEXT,50,,
Character.Description,Description,,TRUE,,TEXT,500,,
